"cecoli_norm_bact" "cbacteroidetes_norm_bact" "cbifides_norm_bact" "clacto_norm_bact" "cfprau_norm_bact" "ccleptum_norm_bact" "ccoccoides_norm_bact" "cAkkqPCR" "Gene_count" "cX7m_gene_count"
1.02555 0.27973 -0.11663 0.04785 -0.02938 0.50587 -0.37663 0.6155 2 17
-0.59078 0.19565 -0.31912 0.14836 -0.08875 0.43344 -0.17099 -1.03278 1 35
-0.05058 -0.13718 -0.36749 -0.4594 0.05092 -0.11966 -0.46899 -0.88442 1 5
1.96951 0.39088 0.24297 -0.07781 -0.29256 -0.06845 0.3854 0.75423 2 23
1.87576 -0.05225 -1.07598 -0.57003 -0.43109 -0.60245 -0.42526 -1.32914 2 36
-0.94654 0.01621 -0.68919 -0.65865 0.01566 0.90262 0.39294 -0.359 1 29
-0.45005 0.10288 -0.63106 -0.57789 -0.01906 -0.04803 0.06971 1.83063 1 17
-0.11962 -0.2328 -0.68137 -0.75535 -0.09533 -0.12293 -0.10703 -3.5743 1 20
0.36585 0.10585 -0.41293 -0.69271 -0.21957 -0.31012 -0.29544 -0.67406 1 32
0.09699 0.02497 1.43918 0.62612 -0.37403 0.97537 1.32225 0.30826 2 18
-0.09345 -0.40368 -0.36477 0.72471 -0.17165 -0.31613 -0.35245 -0.26844 2 14
-1.34943 0.09868 -0.69491 -1.03262 -0.40268 -0.04281 -0.40213 -1.60628 1 17
0.43219 0.24564 0.51024 -0.13226 -0.15702 0.02298 0.46397 -2.35027 1 17
1.36292 0.62306 1.1387 2.00574 -0.24481 0.02129 0.38607 -3.92006 1 7
0.38987 0.36446 0.70146 0.68526 -1.02449 0.32093 0.15828 1.31727 1 6
0.23342 0.38439 -1.41734 -0.29241 -0.40418 -0.32404 -0.48266 -1.11642 2 17
-0.14797 0.29608 -0.60559 -0.53409 -0.16583 0.35122 0.75752 0.5881 2 27
-0.16925 -0.0136 -0.0391 0.07449 -0.2107 -0.14886 -0.73395 1.27037 1 16
-0.64651 -0.06503 -0.05447 -1.24627 -0.33001 -0.12237 -0.13583 -0.59366 1 28
1.07534 0.17974 0.33504 -0.10602 -0.41729 0.20819 0.2311 0.6424 1 17
-0.05992 0.51445 0.12346 -0.73999 0.16653 -0.12133 0.24936 -2.57707 1 11
-1.41622 0.70244 0.28243 -0.17808 0.30538 -0.05864 0.37836 -0.47507 1 17
-0.56847 0.02178 0.74108 -0.12701 0.9353 0.05232 0.93183 -0.88978 2 25
-1.55792 0.32801 0.29066 -0.02051 0.29339 0.13399 0.18175 -2.38267 1 3
1.13709 0.28058 0.07149 -0.16713 -1.04668 0.1989 -0.05734 0.96389 2 17
0.23061 -0.05709 0.43434 -2.57058 -0.95956 0.48184 0.48676 0.96374 2 24
3.34908 1.23478 0.23554 0.75175 0.27912 0.73703 0.71525 0.36666 1 4
-0.33505 -0.02609 -0.35381 -0.57659 -1.22248 0.65591 -0.14518 0.44068 2 21
0.41042 0.83327 0.78315 -0.51705 -0.1295 0.27408 -0.70159 1.96185 1 17
0.54247 0.5045 0.19181 0.4061 -0.10173 0.57174 0.25648 1.49698 2 22
-1.84345 -0.08858 1.46649 -1.09513 3.58874 4.05195 2.67119 3.63869 2 17
0.29404 0.36111 0.27779 -0.83107 -0.27811 -0.16472 -0.37062 0.08077 1 30
-1.41608 0.49691 0.40387 -1.07636 -0.32564 0.18973 0.11106 0.5089 1 12
-0.18153 -0.10389 -2.37582 -0.10585 -0.07649 0.21898 -0.10886 0.41136 2 8
2.13729 0.84819 0.32898 -1.22688 0.63604 2.16305 0.6681 3.24807 2 26
0.22358 0.30887 0.43624 -0.39269 0.52609 0.4609 0.69033 -4.54249 1 1
0.44443 -0.1985 -2.24818 -0.41629 -1.11386 -0.56078 -0.28653 -1.69719 1 15
-0.14238 0.09633 -0.50781 -0.00762 -0.06586 -0.04548 -0.26864 -1.10942 1 17
-1.29429 -0.12354 -1.74521 -0.40228 -0.30219 -0.10574 -0.39283 0.27942 1 17
-1.43238 0.0385 -0.21028 -0.34919 0.44523 -0.28726 -0.37278 -0.52583 2 13
-1.42798 0.01704 0.29737 -1.69964 0.03561 -0.90531 -0.60288 -1.41066 1 10
0.71868 0.14645 -1.73694 -0.51341 0.01795 0.40706 0.01958 -1.14426 1 9
0.13892 0.90648 0.81409 -0.04142 -0.13108 -0.14887 1.0291 -0.28774 1 2
0.25638 0.10227 0.6072 0.19032 0.67503 1.07455 -0.78788 0.01926 1 17
1.78038 0.21556 -1.19665 -0.81122 0.00429 0.17051 -0.05938 1.71365 2 33
-1.68407 0.35776 0.152 -2.35198 0.04355 0.25502 -0.04697 -2.24681 2 19
0.38791 0.53473 0.34295 -0.77012 0.60216 -0.18797 0.25674 -0.6454 1 31
1.08272 -0.10179 0.14781 0.31449 -0.1299 0.32732 0.09798 0.59771 1 34
0.80604 0.61995 -1.82543 -0.37266 -1.19889 0.12831 -1.55823 0.3982 1 17
